PERIOD,YEAR,STATS_VALUE
November,1990,190.3
March,1991,253.2
April,1991,178.3
May,1991,112.3
June,1991,56.5
July,1991,32.5
August,1991,74.5
September,1991,100.8
October,1991,123.2
November,1991,138.3
January,1992,292.6
February,1992,282.1
March,1992,221.4
April,1992,122.8
June,1992,46.5
July,1992,52.9
August,1992,42.1
September,1992,56.3
October,1992,104.4
November,1992,198.8
January,1993,268.4
February,1993,243.4
March,1993,234.9
April,1993,166.6
May,1993,125.2
June,1993,83.1
July,1993,36.7
August,1993,36.8
September,1993,48.5
November,1993,145.5
December,1993,221.8
February,1994,299.1
March,1994,237
April,1994,191.4
May,1994,149.6
June,1994,63.2
July,1994,41.3
August,1994,52
September,1994,64.4
October,1994,105.9
November,1994,166.7
January,1995,294
February,1995,297.9
March,1995,287.7
April,1995,258.9
May,1995,153
June,1995,66.9
July,1995,31
August,1995,41.5
September,1995,91
November,1995,169.8
December,1995,277.6
January,1996,326.1
February,1996,309.7
March,1996,245.3
April,1996,224.5
May,1996,114.4
June,1996,56.8
July,1996,52.5
August,1996,53.6
September,1996,121.7
October,1996,151.4
